NO,Tanggal,Kurs,Return
1,04/01/2016,13898,
2,05/01/2016,13931,0.002371628
3,06/01/2016,13863,-0.004893152
4,07/01/2016,13946,0.005969308
5,08/01/2016,13874,-0.005176144
6,11/01/2016,13935,0.004387076
7,12/01/2016,13835,-0.007202048
8,13/01/2016,13861,0.001877528
9,14/01/2016,13877,0.001153652
10,15/01/2016,13886,0.000648345
11,18/01/2016,13931,0.003235434
12,19/01/2016,13921,-0.000718081
13,20/01/2016,13896,-0.001797462
14,21/01/2016,13899,0.000215866
15,22/01/2016,13874,-0.00180031
16,25/01/2016,13844,-0.002164659
17,26/01/2016,13904,0.004324643
18,27/01/2016,13871,-0.002376239
19,28/01/2016,13889,0.00129683
20,29/01/2016,13846,-0.003100778
21,01/02/2016,13699,-0.010673545
22,02/02/2016,13621,-0.005710118
23,03/02/2016,13757,0.009935066
24,04/02/2016,13662,-0.006929529
25,05/02/2016,13653,-0.000658979
26,09/02/2016,13689,0.002633313
27,10/02/2016,13538,-0.011092045
28,11/02/2016,13369,-0.012561952
29,12/02/2016,13471,0.007600633
30,15/02/2016,13476,0.000371099
31,16/02/2016,13333,-0.01066816
32,17/02/2016,13504,0.012743773
33,18/02/2016,13479,-0.001853019
34,19/02/2016,13549,0.005179825
35,22/02/2016,13460,-0.00659042
36,23/02/2016,13397,-0.004691523
37,24/02/2016,13446,0.003650863
38,25/02/2016,13416,-0.00223364
39,26/02/2016,13400,-0.001193318
40,29/02/2016,13395,-0.000373204
41,01/03/2016,13367,-0.00209252
42,02/03/2016,13314,-0.00397287
43,03/03/2016,13260,-0.004064128
44,04/03/2016,13159,-0.00764605
45,07/03/2016,13029,-0.009928293
46,08/03/2016,13128,0.007569712
47,10/03/2016,13149,0.001598356
48,11/03/2016,13087,-0.004726339
49,14/03/2016,13020,-0.005132734
50,15/03/2016,13087,0.005132734
51,16/03/2016,13169,0.006246212
52,17/03/2016,13166,-0.000227834
53,18/03/2016,13048,-0.009002884
54,21/03/2016,13160,0.008547061
55,22/03/2016,13175,0.001139169
56,23/03/2016,13167,-0.000607395
57,24/03/2016,13250,0.006283853
58,28/03/2016,13323,0.005494313
59,29/03/2016,13363,0.002997829
60,30/03/2016,13359,-0.000299379
61,31/03/2016,13276,-0.006232421
62,01/04/2016,13200,-0.005741064
63,04/04/2016,13145,-0.004175371
64,05/04/2016,13217,0.005462422
65,06/04/2016,13223,0.000453858
66,07/04/2016,13197,-0.001968207
67,08/04/2016,13169,-0.002123948
68,11/04/2016,13134,-0.002661295
69,12/04/2016,13123,-0.000837872
70,13/04/2016,13096,-0.002059576
71,14/04/2016,13238,0.010784642
72,15/04/2016,13166,-0.005453733
73,18/04/2016,13204,0.002882065
74,19/04/2016,13150,-0.004098055
75,20/04/2016,13133,-0.001293612
76,21/04/2016,13182,0.003724116
77,22/04/2016,13169,-0.00098668
78,25/04/2016,13235,0.004999253
79,26/04/2016,13215,-0.001512288
80,27/04/2016,13173,-0.003183268
81,28/04/2016,13204,0.002350534
