periode,semarang
02/01/2023,27900
03/01/2023,27900
04/01/2023,28000
05/01/2023,28000
06/01/2023,28000
07/01/2023,27966.66667
08/01/2023,27933.33333
09/01/2023,27900
10/01/2023,27800
11/01/2023,27700
12/01/2023,27700
13/01/2023,27700
14/01/2023,27566.66667
15/01/2023,27433.33333
16/01/2023,27300
17/01/2023,27100
18/01/2023,26900
19/01/2023,26900
20/01/2023,26900
21/01/2023,26875
22/01/2023,26850
23/01/2023,26825
24/01/2023,26800
25/01/2023,26900
26/01/2023,26700
27/01/2023,26700
28/01/2023,26733.33333
29/01/2023,26766.66667
30/01/2023,26800
31/01/2023,26800
01/02/2023,26900
02/02/2023,26800
03/02/2023,26400
04/02/2023,26366.66667
05/02/2023,26333.33333
06/02/2023,26300
07/02/2023,26800
08/02/2023,26900
09/02/2023,27200
10/02/2023,27200
11/02/2023,27133.33333
12/02/2023,27066.66667
13/02/2023,27000
14/02/2023,27100
15/02/2023,27100
16/02/2023,26900
17/02/2023,26800
18/02/2023,26800
19/02/2023,26800
20/02/2023,26800
21/02/2023,26800
22/02/2023,26700
23/02/2023,26800
24/02/2023,26500
25/02/2023,26333.33333
26/02/2023,26166.66667
27/02/2023,26000
28/02/2023,26000
01/03/2023,26000
02/03/2023,26000
03/03/2023,25900
04/03/2023,26100
05/03/2023,26300
06/03/2023,26500
07/03/2023,26900
08/03/2023,27800
09/03/2023,28100
10/03/2023,28500
11/03/2023,28366.66667
12/03/2023,28233.33333
13/03/2023,28100
14/03/2023,29200
15/03/2023,29500
16/03/2023,30000
17/03/2023,30200
18/03/2023,30266.66667
19/03/2023,30333.33333
20/03/2023,30400
21/03/2023,30200
22/03/2023,30066.66667
23/03/2023,29933.33333
24/03/2023,29800
25/03/2023,29700
26/03/2023,29600
27/03/2023,29500
28/03/2023,29400
29/03/2023,29200
30/03/2023,29200
31/03/2023,29000
01/04/2023,28633.33333
02/04/2023,28266.66667
03/04/2023,27900
04/04/2023,27500
05/04/2023,27000
06/04/2023,27000
07/04/2023,26975
08/04/2023,26950
09/04/2023,26925
10/04/2023,26900
11/04/2023,26900
12/04/2023,27200
13/04/2023,27200
14/04/2023,27200
15/04/2023,27133.33333
16/04/2023,27066.66667
17/04/2023,27000
18/04/2023,27200
19/04/2023,27900
20/04/2023,27900
21/04/2023,28700
22/04/2023,28700
23/04/2023,28700
24/04/2023,28700
