Period,Net Weight(kg)
201404,9150000
201405,6225000
201406,3325000
201407,11668000
201408,16949925
201409,5390650
201410,3150000
201411,11530000
201412,15400000
201501,2500000
201502,4048300
201503,19525000
201504,2200000
201505,11167600
201506,11450000
201507,19450000
201508,26971000
201509,2150000
201510,19350000
201511,20965000
201512,36824175
201601,8609035
201602,1415692
201603,22687909
201604,11851459
201605,13657567
201606,38162695
201607,11314959
201608,1475531
201609,889879
201610,6067519
201611,4584977
201612,22199024
201701,119373395
201702,52860229
201703,81317621
201704,6410402
201705,7585549
201706,4418207
201707,92510
201708,14952431
201709,6828780
201710,6275130
201711,10191157
201712,48997762
201801,5022006
201802,1500000
201803,10750000
201804,10040000
201805,5540000
201806,11500000
201807,19816000
201808,500000
201809,3000000
201810,7200000
201811,24298800
201812,14800000
201901,3300000
201902,130598300
201903,16200000
201904,91725000
201905,86464000
201906,146216800
201907,98400000
201908,126750000
201909,68600000
201910,11700000
201911,8250000
201912,7396000
202001,8375000
202002,4500000
202003,5700000
202004,4200000
202005,7190000
202006,11300000
202007,3650000
202008,3500000
202009,1890000
202010,75000
202011,2000000
202012,9273002
202101,700000
202102,1
202103,9000000
202104,9770000
202105,8230000
202106,13750000
202107,7450019
202108,5000000
202109,5894000
202110,6044000
202111,10805001
202112,11950035
202201,2
202202,1250016
202203,3500000
202204,9432000
202205,7100001
202206,14275000
202207,2150002
202208,1125000
202209,4000000
202210,6050016
202211,7750000
202212,12728000
202301,105406000
202302,135849000
202303,19740000
202304,9397350
202305,118593000
202306,168504000
202307,100785800
202308,143446000
202309,49299000
202310,133623000
202311,167906000
202312,229372000
202401,235840001
202402,275999000
202403,142656000
202404,110104000
202405,154303000
